"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"19059","武汉西普欣电器设备有限公司","5020","Wuhan Xipuxin Wiring Co.,ltd","No.2603 Jiaoyangfang Ave，Wuhan，Hubei，China","武汉市角羊放大道2603号","","5209","生产船舶电器设备。","430012","rwhxpx@163.com","027-82344463","027-82325446"
"19060","武汉兴大机电设备制造有限公司（武汉兴大船舶设备有限公司）","5020","Wuhan Xingda Machinery & Electric Equipment Co.,lt","Block 21 Yuejin Industry Park，No.12 Luojiazui Road，Wuhan，Hubei，China","武汉市罗家嘴路12号跃进工业园21栋","www.whxingda.cn","5209","CYSC系列船用油水分离器、WF-CB系列生活污水处理装置、WCH系列生活污水消毒储存柜、XGZJ系列船用高净水器、压力水柜、蒸汽电加热水柜、各种消音器、滤器等多种船舶设备及配件。","430023","whhanxingda@126.com","027-62406257","027-65600045"
"19061","上海新帆集装箱配件有限公司","5020","Shanghai Xinfan Container Fittings Co.,Ltd","Rm.102 Building 1,No,333 Hanzhong Road","汉中路333号1栋102室","www.xfseal.com","5205","从事各种集装箱箱封及门栓的制造。","200070","trading@xfseal.com","021-63806232","021-63806231"
"19062","武汉一冶有限钢结构公司","5020","Wuhan Yiye Steel Structure Co.,ltd","Industrial Garden，Yangluo Ecnomic Development Zone，Wuhan，Hubei，China","武汉市阳逻经济开发区工业园","www.cfmcc-ss.com.cn","5209","钢结构、船载大型卧式储罐。","430415","wssc@cfmcc.com","027-89655266","027-89655288"
"19063","武汉中北经济发展有限公司","5020","Wuhan Zhongbei Economic Deveiopment Co.,ltd","No.23 Center Road（N），Wuchang District，Wuhan，Hubei，China","武汉市武昌区中北路23号","www.csic-zb6803.com","5209","惰性气体系统装置，钢材预处理成套设备，船台小车及压力容器等。","430071","zb6803@china.com","027-87311978","027-87895585"
"19064","武汉中北造船设备有限公司","5020","Wuhan Zhongbei Marine Equipment Co.,ltd","Sunshine Avenue，Maioshan Development Zone，Jiangxia District，Wuhan，Hubei，China","武汉市江夏区庙山开发区阳光大道","www.csic-zb6803.com","5209","惰性气体装置；单臂油压机系列；程控、数控肋骨冷弯机系列产品。","30223","zb6803@china.com","027-81802008","027-81802001"
"19065","武汉中生船舶舾装设备有限公司","5020","Wuhan Zhongsheng ","No.109 Xichenghao，Wuchang District，Wuhan，Hubei，China","武汉市武昌区西城壕109号","","5209","船舶锚泊设备：锚、锚链、锚链附件等；系泊设备：带缆桩、导缆空、卷车等；推、拖、起重设备：拖钩、起重卸扣、滑车、螺旋扣等；关闭设备：门、窗、盖等。","430061","","027-88870226","027-88870226"
"19066","武汉中舟船舶配套有限公司","5020","Wuhan Zhongzhou Marine Fittings Co.,ltd","Ziya Diaoyutai，Yuhuan Mountain，Houhu County，Jian'an District，Wuhan，Hubei，China","武汉市江岸区后湖乡余华岭子牙钓鱼台","","5209","船用生活污水处理装置，船用组装式空调，船用压力水柜。","430012","zhongz@zhongz.shipe.cn","027-65609668","027-65609616"
"19067","武汉重型机床集团有限公司","5020","Wuhan Heavy Dutymachine Tool Group Co.,ltd","No.108 Zhongbei Road，Wuchang District，Wuhan，Hubei，China","武汉市武昌区中北路23号","www.whhdmt.com","5209","多种船舶工业用机床。","","info@whhdmt.com","027-67810001","027-67810008"
"19068","孝感市清风船舶机械有限责任公司（应城清风船舶机械厂）","5020","Xiaogan Qingfeng Marine Machinery Co.,ltd（Yingchen","No.2 Hanyi Ave.，Dongmafang，Yingcheng，Hubei，China","应城市东马坊汉宜大道2号","","5209","人力电动锚、电动绞盘、电动绞车、舾装件。","432407","","0712-3511455","0712-3511455"
"19069","宜昌广源航海仪器厂","5020","Yichang Guangyuan Navigation Device Plant","No.15 Jinlong Road，Yichang，Hubei，China","宜昌市金龙路15号","","5209","船舶配套仪器、电器、电机。","443010","","0717-6361174",""
"19070","宜昌航海仪器有限责任公司","5020","Yichang Navigation Instrument Works","No.15 Jinlong Road，Yichang，Hubei，China","宜昌市金龙路15号","","5209","船舶主机遥控装置、舵角指示器、音响电器、船用开关、船用控制屏等。","443000","","0717-6361174","0717-6443061"
"19071","宜昌市船舶工业公司","5041","Yichang Shipbuilding Industry Co.","No.77Yanjiang Ave，Yichang，Hubei，China","宜昌市沿江大道77号","","5209","船舶配件。","443000","","0717-6741206",""
"19072","北京嘉鑫黎明工贸有限公司","5020","Beijing jiaxinliming Industry &Trading Co.,Ltd","Rm.2312, Block A Youshige ,No. 8,Guangqumenwai Avenue ,Chaoyang District, Beijing, China","北京市朝阳区广渠门外大街8号优士阁A座2312室","","5213","生产、销售高楼救生缓降器、车床刀具等。","100022","","010-58614238","010-58614235"
"19073","上海新中动力机厂","5020","Shanghai Xinzhong Power Machine Plant Under 711 Re","No.2801 Gonghexin Road","闸北区共和新路2801号","www.shcxz.com","5205","引进MAN B&W 公司专有技术生产的L+V20/27系列柴油机新一代L2520Z系列废气涡轮增压器；引进TANABEz专有技术生产的HC-270A 空气压缩机与PWC系列水泵以及塑料机械等非船舶产品。","200072","xinzh@online.sh.cn","021-56651100","021-56652294"
"19074","宜昌市海达电热电器制造有限公司","5020","Yichang Haida Electric Heating Device Co.,ltd","No.42 Pubao Street，Yichang，Hubei，China","宜昌市璞宝街42号","","5209","系列电热器产品。","443000","","0717-6742853","0717-6745657"
"19075","宜昌市平湖船舶物资有限责任公司","5020","Yichang Pinghu Marine Material Co.,ltd","No.146 Yanjiang Ave，Yichang，Hubei，China","宜昌市沿江大道146号","","5209","钢丝绳、船舶配件、金属材料。","443003","","0717-6224106",""
"19076","宜昌中船船舶物资有限责任公司","5020","Yichang Zhongchuan Marine Material Co.,ltd","No.70-3 Yanjiang Ave，Yichang，Hubei，China","宜昌市沿江大道70-3号","","5209","船舶产品、机电产品。","443000","","0717-6743943",""
"19077","英山华茂船舶舾装设备有限公司","5020","Yingshan Huamao Marine Ouutfittings Co.,ltd","Yilisha，Wenquan Town，Yingshan，Hubei，China","英山县温泉镇南一里沙","","5209","船用铸钢锚、铸造附件、舾装件、绑扎件、锻铸件生产、销售。","443015","","0713-7063588",""
"19078","英山县华刚舰船附件制造有限公司","5020","Yingshan Huagang Marine Fittings Manufacture Co.,l","No.6 Jinshi Road（S），Wenquan Town，Yingshan，Hubei，China","英山县温泉镇金石南路6号","","5209","舰船用锚、锚链附件、集装箱就紧固件、舾装件。","443008","","0713-7060948",""
"19079","常德市青山水工机械厂","5020","Changde Qingshan Hydrotechnic Machinery Plant","No.78 Qingshan Shanban，Lilin County，Hunan，China","临澧县杉板青山78号","","5210","水江机械。","415208","","0736-5656968",""
"19080","长沙洞庭船舶动力配件公司","5020","Changsha Dongting Marine Power Fittings Co.","No.409Shuyuanlu。Changsha，Hunan，China","长沙市书院路409号","","5210","船舶动力设备、内燃机配件。","410002","","0731-5558242",""
"19081","湖南吉首不锈钢船用推进器制造有限公司","5020","Hunan Jishou Stainless Steel Marine Propeller Manu","No.46 Wuling Road（E），Jishou，Hunan，China","吉首市武陵东路46号","","5210","专业批量、但见山产直径3米一下各种规格、叶型的船用螺旋桨及高耐磨、耐腐、耐高温不休感铸件，精密模具加工制造等。","416000","jcc@mail.xx.hn.cn","0743-8265408","0743-8223700"
"19082","湖南省东安金鸡焊材有限公司","5020","Hunan Donghai Welding Material Co.,ltd","No.57 Xinjian Road，Dong'an County，Hunan，China","东安县新建路57号","","5210","主要产品有熔炼焊剂、烧结焊剂。","425900","","0746-4212798","0746-4212798"
"19083","湖南省醴陵市电焊条厂","5020","Liling Electrode Factory，Hunan ","No.59 Xishan Road，Liling，Hunan，China","醴陵市西山路59号","","5210","焊条等焊材。","412200","","0733-3282329",""
"19084","上海兴利达船舶设备有限公司","5020","Shanghai Xinglida Marine Equipment Co.,Ltd","No.1 lane 803,Sichuan Road","上海市四川北路８０３弄１号","","5205","船舶设备。","200085","","021-63244662",""
"19085","湖南省永州市哈陵焊接材料有限责任公司","5020","Haling Welding Consumables Co.,ltd","No.55 Taojiang Road，Zhishan District，Yongzhou，Hunan，China","永州市芝山区桃江路55号","www.haling99.com","5210","自动埋弧焊接和焊丝。","425006","haling99@163.com","0746-6389872","0746-6389877"
"19086","湖南省岳阳科德电磁永磁设备厂","5020","Hunan Yueyang Koder Magentic Apparatus Factory","P.O.BOX yueyang，Hunan，China","岳阳市188号信箱","","5210","专业生产起重量200公斤至20吨吊板用永磁起重器，吸吊废钢、钢板、型钢用成套电磁铁，除铁器，电缆卷筒，停电调磁保慈设备。","414000","","0730-8629234","0730-8632375"
"19087","湖南省岳阳市船用齿轮箱厂","5020","Hunan Yueyang Marine Gear Box Plant","No.6 Youzhaling，Yueyang，Hunan，China","岳阳市油榨岭6号","","5210","船用齿轮箱，船用机械，制造维修。","414000","","0730-8224887",""
"19088","湖南湘潭平安电气集团有限公司","5020","Hunan Xiangtan Ping'an Electric Group Co.,ltd","No.12 Ping'an Road，Xiangtan，Hunan，China","湘潭市平安路12号","www.pa-fan.com","5210","船用通风设备。","411100","morket@pa-fan.com","0732-8271011","0732-8272064"
"19089","华菱衡阳钢管（集团）有限公司","5020","Valin Hengyang Steel Tube（Group）Co.,ltd","No.10 Dali Village，Hengyang，Hunan，China","衡阳市大栗新村10号","www.hysteeltube.com","5210","多种钢管。","421001","hysteel@hysteeltube.com","0734-8872188","0734-8870188"
"19090","华菱涟源钢铁有限公司","5020","Valin Lianyuan Iron & Steel Group Co.,ltd","Louxing District，Loudi，Hunan，China","娄底市娄星区","www.lysteel.com","5210","船用钢板。","417009","lgyxgs@mysteel.com.cn","0738-8664606","0738-8660591"
"19091","岳阳科德科技有限责任公司","5020","Yueyang Koder Technology Co.,ltd","Kede S/T Industrial Area，Bazimen，Economic & Technological Development Zone，Yueyang，Hunan，China","岳阳市经济技术开发区八字门科德科技工业园","www.koder.cn","5210","电磁永磁成套设备，冶金成套设备，热工成套设备，环保成套设备。","414000","koder188@126.com","0730-8729888","0730-8729288"
"19092","中国国际海运集装箱（集团）股份有限公司","5020","China International Marine Container （Group）Co.,lt","No.2 Gangwan Ave，Shekou Industrial Area，Shenzhen，Guangdong，China","深圳市蛇口工业区港湾大道2号","www.cimc.com","5206","主要经营集装箱、道路运输车辆、机场设备制造和销售服务。","518067","shareholder@cimc.com","0755-26691130","0755-26826579"
"19093","潮州市造船制气总厂","5020","Chaozhou Shipbuilding & Gas Plant","Gumei Village，Xiangqiao District，Chaozhou，Guangdong，China","潮州市湘桥区古美村","","5206","船用氧气、氩气、乙炔气。","521011","","0768-2262419","0768-2262419"
"19094","德润佳业科技开发有限公司","5020","Succeed Science And Technology Develop Co.,ltd","Rm.909-910，Block East Qiushi Building ，Zhuzilin，Shennan Avenue，Futian District，Shenzhen，Guangdong，China","深圳市福田区深南大道竹子林求是大厦东座909-910室","www.vangas.com","5206","天然气切割供气系统以及添加剂。","518040","vangas2008@yahoo.com.cn","0755-33330958","0755-33330951"
"19095","上海亿泽科技环保有限公司","5020","Shanghai Yize Science & Technology Environment Pro","Block 18D,No.1 Building Yangpu Mansion,Lane 2005 Huangxing Road","黄兴路2005弄杨浦大厦1号楼18D座","","5205","代理各类进口环保产品。","200433","shirley497@vip.163.com","021-55069048","021-65240177"
"19096","东莞凯鸿光电科技有限公司","5020","Dongguan Kaihong Photoelectril Technology Co.,ltd","Industrial Area of Baisha 4th village，Humen Town，Dongguan，Guangdong，China","东莞市虎门镇白沙四村工业区","www.kaiphone.com","5206","金属电缆、保护套管。","523912","sales@kaiphone.com","0769-85524576","0769-85524578"
"19097","东莞马士基集装箱工业有限公司","5020","Dongguan Maersk Container Industry Co.,ltd","Dasheng Village，Mayong Town，Dongguan，Guangdong，China","东莞市麻涌镇大盛村","www.vangas.com","5206","天然气切割供气系统以及添加剂。","518040","vangas2008@yahoo.com.cn","0755-33330958","0755-33330951"
"19098","佛山市大中锚链有限公司","5020","Foshan Dazhong Anchor Chain Co.,ltd","No.9 Jiangwan Road（2nd），Foshan，Guangdong，China","佛山市江湾二路9号","www.dz-china.com","5206","主要生产二、三级船舶用的锚链和附件，产品规格从12.5毫米到84毫米；其他工业用链。","528000","webmaster@dz-china.com","0757-82275442","0757-82276241"
"19099","佛山市佳骏船舶物质有限公司","5020","Foshan Jiajun Marine materials Co.,ltd","No.38A Shiken Steel， Guicheng，Foshan，Guangdong，China","佛山市桂城石肯钢铁厂A38号","","5206","船板、高强度船板、船角、船用球扁钢、船用无缝管。","528200","","0757-86362928","0757-86362488"
"19100","佛山市日丰企业有限公司","5020","Foshan Rifeng Enterprise Co.,ltd","Rifeng Building，No.16 Zumiao Road，Foshan，Guangdong，China","佛山市祖庙路16号日丰大厦","","5206","铝塑复合管、管件、水龙头、阀门。","528000","","0757-82301710","0757-82298083"
"19101","广东船舶燃料用品公司","5020","Guangdong Marinr Bunker Co.","No.178，Yuexiu Road（S），Guangzhou，Guangdong，China","广州市越秀南路178号","","5206","船舶燃料、润料、船用设备。","510100","","020-83806184",""
"19102","广东大洋机电工程有限公司","5020","Guangdong Dayang Machinery & Electric Engineering ","West of Yong'an Oil Station，Wenchuan Road，Guangshen Road，Huangpu，Guangzhou，Guangdong，China","广州市黄埔广深公路文船路口永安油站之西","","5206","柴油发电机组技术服务、维修、船舶维修，技术咨询，机电产品开发。","510725","","020-82386170",""
"19103","广东梅州齿轮厂","5020","Guangdong Meizhou Gear Factory","Dalangkou，Meijiang District，Meizhou，Guangdong，China","梅州梅江区大浪口","","5206","船用齿轮箱。","514016","","0752-2357137",""
"19104","广东省潮阳市船舶配件厂","5020","Guangdong Chaoyang Marine Fitting Plant","No.323 Nanzhong Road，Miancheng，Chaoyang，Guangdong，China","潮阳市棉城南中路323号","","5206","系列船用滑车。","515100","","0754-3862180","0754-3861196"
"19105","广东省广宁船用水泵制造有限公司","5020","Guangdong Guangning Marine Water Pump Mnufacture C","No.63 Xinning Road（N），Nanjie Town，Guangning County，Guangdong，China","广宁县南街镇新宁北路63号","","5206","船用水泵、喷水推进器、柴油机应急消防泵、泥浆泵、摆线针轮减速器。","526300","clients@shipchina.com","0758-8632814","0758-8635757"
"19106","上海直航电子科技有限公司","5020","Shanghai Direct Route Electronics Co.,Ltd","Jinqiao Export industrial Zone,Pudong","浦东金桥出口加工区","www.diroute.com","5205","GPS卫星导航、定位、监控及通信产品开发研制。","201206","","021-51330733","021-51330732"
"19107","广东省揭阳市电机厂","5020","Guangdong Jieyang Electric Machine Factory","No.7 Maya Street，Beimen，Rongcheng District，Jieyang，Guangdong，China","揭阳市榕城区北门马牙街7号","","5206","Y-H(IP44,IP23)系列电动机、YCTJ(IP44,IP23)系列推进电动机、T2XX系列发电机。民用电机系列：TF系列发电机、T2X系列发电机。","522000","","0663-8632675","0663-8632675"
"19108","广东省快捷通导设备总公司","5020","Guangdong Express Communication and Navigation Ltd","No.43 Haibin Road，Shanwei，Guangdong，China","汕尾市海滨路43号","","5206","多种型号的“海图、卫星定位、渔探”三合一仪器及船用对讲机等。","516600","","0660-3303773","0660-3300196"
"19109","广东省龙川县无线电有限责任公司","5020","Guangchuan County Radio Co.,Ltd，Guangdong","Meicun Industrial Area，Longchuan County，Guangdong，China","龙川县梅村工业区","","5206","CJK型（25W、50W)立体声，集拾音、送话、高低音调控、监听装置为一体的船用扩音机、HD36R电视接收天线及各类电子产品。","517300","","0762-6752772",""
"19110","广东省韶关钢铁集团有限公司","5041","Guangdong Shaoguan Steel & Iron Group Co.,Ltd","Maba，Qiujiang County，Guangdong，China","曲江县马坝","www.sgis.com.cn","5206","船用船体用结构钢板已通过中、美、德、英、日无果船级社认可。","512123","","0751-8786140","0751-8785707"
"19111","广东省云浮船用电器厂","5020","Guangdong Yunfu Marine Device Plant","Panlongdong，Leyi Road，Yunfu，Guangdong，China","云浮市乐谊路蟠龙洞侧","","5206","船用电器，配件，电器机械，生产、销售。","527300","","0766-8823747",""
"19112","广东省中山市港口船舶配件厂","5020","Guangdong Zhongshan Gangkou Marine Fittings Plant","Qunfu Industry Ave，Harbour Town，Zhongshan，Guangdong，China","中山市港口镇群富工业大道","","5206","船舶螺旋桨。","528447","","0760-8405335","0760-8410140"
"19113","广东西江航海仪器厂电器厂","5020","Elevtric Equipment Plant of Guangdong Xijiang Navi","Beijiao，Ducheng Town，Xijiang，Zhaoqing，Guangdong，China","肇庆市都城镇北郊","","5206","船用配套设备及仪器制造。","527100","","0758-7592302",""
"19114","广东肇庆西江机械制造有限公司","5020","Guangdong Zhaoqing Xijiang Machinery Manufacture C","Dalutian，Xinghu District，Zhaoqing，Guangdong，China","肇庆市郊星湖区大路田","www.xijiangjiexie.com","5206","多种规格的船用铝质舷窗、矩型窗，甲板机械，罗茨真空泵，6300型、6250型柴油机三泵，0.34/30B型、2V 0.68/7型空压机。","526060","xijiang@xijiangjixie.com","0758-2716712","0758-2716682"
"19115","广州柴油机厂","5020","Guangzhou Diesel Engine Factory","No.73 Fangcun Ave，Guangzhou，Guangdong，China","广州市芳村大道73号","www.gdfdiesel.com.cn","5206","柴油机。","510371","gzcyjc@public.guangzhou.gd.cn","020-81891619","020-81892297"
"19116","广州迪施有限公司","5020","Guangzhou Diesel Marine International Co.,Ltd","No4 Caihui Street，E/T Development Zone，Guangzhou，Guangdong，China","广州市经济技术开发区才汇街4号","","5206","翻新、更换、销售柴油机活塞、铸钢气缸盖、排气阀、透平增压器外充等零部件（销售部分限于本公司翻新产品），与翻新业务有关的船舶修理和机械零部件的制造。","510730","dmigzgd@public.guangzhou.com","020-82098223","020-82098334"
"19117","上海中船电线电缆有限责任公司","5020","Shanghai Zhongchuan Marine Cables Co.,Ltd","No.1279 Dongfang Road,Pudong","浦东新区东方路1279号","","5205","船用设备。","200122","","021-63237835",""
"19118","广州广船广达实业有限公司","5020","Guangzhou Guangchuan Guangda Industry Co.,Ltd","No.40Fangcun Ave，（S），Guangzhou，Guangdong，China","广州市芳村大道南40号","","","船用舱口盖类、桅类、压力水油柜类、梯类、导缆滚轮、座驾、带缆桩制作，各种弯管接头，异径接头、法兰及大型钢结构、各类锻造、铸造产品等。","510382","gzship@163.net","020-81897989","020-81587565"
"19119","广州海发船务工程有限公司","5020","Guangzhou Haifa Shipping & Engineering Co.,Ltd","Nanpuxiang Village，Dashi Town，Panyu，Guangzhou，Guangdong，China","广州市番禹大石镇南浦乡村","","5206","各类船舶柴油机、辅机、锅炉等设备及自动化工程，船舶备件、物料供应和仓储。","511430","manager@haifa-shipping.sina.net","020-84580737","020-84504921"
"19120","广州海工液压舵机厂","5020","Guangzhou Haigong Hydraulic Steering Gear Plant","No.16 Zhengxing Ave，Lijiao，Haizhu District，Guangzhou，Guangdong，China","广州市海珠区沥窖振兴大街16号","www.cfyd-rubber.com","5206","设计、安装船舶液压常规舵机、同步舵机、同异步舵机、液压锚机、货机、绞盘、滚装船及轮渡大门启闭，跳板升降及桅杆倒竖装置等船舶液压设备及其电气控制系统、报警系统等。","510290","zhengjiafan@21cn.com","020-84175113","020-84175126"
"19121","广东航海仪器厂有限公司","5020","Guangdong Nautical Instrument Factory Co.,Ltd","No.243 Jiangren Road，Jianggao Town，Baiyun District，Guangzhou，Guangdong，China","广州市白云区江高镇江人路243号","www.gzhanghai.com","5206","操舵仪，船用电风扇，船舶驾驶室集控台，船用配电板，船舶自动化控制装置，船用刮水器，船用旋转视窗，雨雪清除器。","510450","hhyq@gzhanghai.com","020-86202507","020-86203382"
"19122","广州经济技术开发区光通机械工程有限公司","5020","GETTD Guangtong Machinery Engiennring Co.,Ltd","Guangzhou Wenchong Shipyard，Huangpu，Guangzhou，Guangdong，China","广州市黄埔文冲船厂内","","5206","船舶工程，涡轮增压器修理，调速器修理，化学清洗工程。","510725","","020-82380580","020-82379065"
"19123","广州番禹桥联船舶配件厂","5020","Guangzhou Panyu Qiaolian Marine Fittings Factory","Caohe Industrical Area（N），Shanwan Town，Panyu District，Guangzhou，Guangdong，China","广州市番禺区沙湾镇草河工业区","www.qiaoliancn.com","5206","按GB、CB、CBM标准生产的各种型号、规格的铝质舷窗、铝质矩形窗、铝质移门、铝质空腹门、铝质舷梯、铝质人孔盖、铝质舱口盖，根据客户要求，开发国内非标准的、仿效国外先进水平的轻型铝质门、窗、盖、船用铝合金发偶记软座座椅、餐椅背面板、椅背杂物网带、救生衣带、枕套、椅罩、各种类型的外套面料。","511483","qiaoliancn@163.com","020-84634555","020-84620926"
"19124","广州市长海船舶物质有限公司","5020","Guangzhou Changhia Shipping Material Co.,Ltd","No.6 Longtoushan Road，Huangpu District，Guangzhou，Guangdong，China","广州市黄浦区龙头山路6号","www.86shipssupply.com","5206","国际船舶物料、集装箱配件、船舶舾装件，救生消防设备，船舶五金化工，起重舱盖配件，进口柴油机备件，船舶电器，仪表，船舶导航设备。","510730","changhai1977@21cn.com","020-82218496","020-82209285"
"19125","广州市海旭调速器有限公司","5020","Guangzhou Mariward Governor Co.,Ltd","Wenchuan Shipyard（W），Huangpu  District，Guangzhou，Guangdong，China","广州市黄浦区文船路西侧300米","www.mariward.com","5206","调速器试验台的生产及销售，Woodward、Zexel调整器的修理、改装及配件供应，ABBMANMITSUBISHI增压器的修理、改装及配件供应。","510725","haixu2000@tom.com","020-82398998","020-82172032"
"19126","广州市南方特种涂装有限公司","5020","Guangzhou South Special Coating Co.,ltd","Wenchuan Shipyard，Huangpu  District，Guangzhou，Guangdong，China","广州市黄浦区文冲船厂内","","5206","修造船、成品油船、化学品船的特涂工程及各类船舶的涂装工程、食品、石油化工行业设备、容器的特涂和涂装工程，桥梁、金属结构、地铁的涂装工程，各种钢管管道内外壁和钢材表面防腐工程，高层建筑内外涂装工程。","510725","","020-82396188","020-82396288"
"19127","广州市番禹海翔船舶舾装件有限公司","5020","Guangzhou Panyu Haixiang Marine Outfits Co.,ltd","Xiaoluo Vllage（W），Shiguang Road，Panyu，Guangzhou，Guangdong，China","广州市番禺市广路小罗村路段西侧","","5206","以生产船用铝质门、窗、座椅、梯、盖及舾装件为主。","511400","","020-34512715","020-84661835"
"19128","上海中远关西涂料化工有限公司","5020","Shanghai Kaisan Paint & Chemicals Co.,Ltd","No.5589~5689 Hutai Road,Baoshan District","宝山区沪太路5589~5689号","www.kansai.com.cn","5205","船用油漆等。","201907","kansai@kansai.com.cn","021-56023388","021-56020852"
"19129","广州市平生船用配套物质有限公司","5020","Guangzhou Pingsheng Marine Stores & Spareparts Co.","No.5-6 Gangqian Road，Huangpu District，Guangzhou，Guangdong，China","广州市黄浦区港前路5-6号","","5206","船舶配套物资。","510700","xiongps@vip.163.com","020-82285025","020-82282533"
"19130","广州市万里达水上用品开发有限公司","5020","Guangzhou Wanlida Aquatic Products Development Co.","No.82 Jinya Garden，Binjiang Road（E)，Guangzhou，Guangdong，China","广州市滨江东路金雅园82号","","5206","舷外机、救生衣、娱乐用充气艇筏等。","510260","mlt80@163.com","020-84048028","020-84499888"
"19131","广州市洗涤机械实业公司（广州建设机器厂）","5020","Guangzhou Washing Machinery Co.,Ltd（Guangzhou Jian","No.1Xinlong Shaxi，Fangcun，Guangzhou，Guangdong，China","广州市芳村新隆沙西1号","","5206","舵机（液压、电动）、起货机、起艇机、起锚机、绞车、舷窗、洗涤机械、甲板机械、环境污染防治设备。","510370","","020-81891361","020-81807814"
"19132","广州市翔和船舶阀门机械有限公司","5020","Guangzhou Xianghe Marine ValveMachinery Co.,Ltd","No.20Enling Road，Lingshan Town，Panyu District，Guangzhou，Guangdong，China","广州市番禺区灵山镇恩灵路20号","","5206","船舶阀门、船舶管路系列配件。","511473","","020-34997619","020-34997649"
"19133","广州市中海达测绘仪器有限公司","5020","Guangzhou Hi-Target Surveying Instrument Co.,ltd","4/F ,Yajue Tower，No.59 Jianzhong Road，Tianhe Ruanjian Park，Tianhe District，District，Guangzhou，Guangdong，China","广州市天河区天河软件园建中路59号雅爵大厦四楼","www.zhdgps.com","5206","静态测量型GPS，动态实时差分RTD GPS、信标机、GPS、单频RTKGPS，实时动态双频RTK GPS五大系列GPS产品。","510665","zhdgps@zhggps.com","020-85578860/1/2/3","020-85578889"
"19134","广州远洋船舶修理厂有限公司","5020","COSCO-Guangzhou Marine Repair Co.,ltd","Guangjiang Road，Shuangshawei，Haungpu District，Guangzhou，Guangdong，China","广州市黄浦区双沙尾广江璐","","5206","船用橡胶密封制品，船舶零件，修理、安装船舶设备、集装箱及机电、通讯导航设备等。","510725","","020-82399432","020-82386557"
"19135","广州中驹游艇机械有限公司","5020","Guangzhou Zhongju Yacht Machinery Co.,ltd","No.10 Xinshuikeng Road，Shixin，Shiji Town，Panyu，Guangzhou，Guangdong，China","广州市番禺石基市新路新水坑路段10号","","5206","日本本田（HONDA)液化气（LPG）船外挂机。","511409","","020-34881610","020-34881609"
"19136","冠驿企业有限公司","5020","GumnYIE Ent.Ltd","Tai'an Road 2nd Industry Zone of Shigu，Tangxia， Dongguang，Guangdong，China","东莞市塘厦石鼓第二工业区泰安路","","5206","游艇用五金零件、灯饰等相关产品。","523729","","0769-87919979","0796-87919932"
"19137","华南建材（深圳）有限公司","5020","Huanan Structural Materials（Shenzhen）Co.,ltd","C-5/F International Technic Innovation Research Institule，Gaoxin District，Shenzhen，Guangdong，China","深圳市高新区南区国际技术创新研究院C座5楼","www.hnjc.cn","5206","生产和经营船舶耐火舱室系统。","518057","suixy@126.com","0755-26994814","0755-26994734"
"19138","华南特种涂装实业有限公司","5020","Huanan Special Coating Co.,ltd","No.40 Fancun Ave，Baihedong，Guangzhou，Guangdong，China","广州市白鹤洞芳村大道40号","www.chinascsc.com.cn","5206","生产和销售特种涂料、涂装设备，并进行售后服务和其他有关业务，开发特种涂装技术，承接国内外特种涂装业务。","510382","scsc@chinascsc.com.cn","020-81891712-2430","020-81576772"
"19139","上海事必达特涂装备工程有限公司","5020","Shanghai Speedo Special Coating Equipment Engineer","No.959 Kangqiao Road,Nanhui District","南汇区康桥路959号","","5205","喷砂机、除湿机、真空吸砂机、后冷却器等特涂设备。","201315","","021-58121222","021-58120344"
"19140","江门市拆船轧钢综合总公司","5020","Jiangmen Shipbreaking & Steel Rolling Corp.","No.24 Penglai Road，Jiangmen，Guangdong，China","江门市蓬莱路24号","","5206","销售拆废旧船物资、废旧船钢板。","529000","","0750-3305556",""
"19141","江门市新会区双水拆船加工厂","5020","Jiangmen Xinhui Shuangshui Shipbreaking Factory","Industrial Development Zone，Shuangshui Town，Xinhui District，，Jiangmen，Guangdong，China","江门市新会区双水镇工业开发区","","5206","拆废旧船、轧钢。","529153","","0750-6412059",""
"19142","茂名市华东船舶汽车配件有限公司","5020","Maoming Huadong Ship&Car outfitting Co.,ltd","No.57，Guofang Road，Magang Town，Maoming，Guangdong，China","麻岗镇国防路157号","","5206","船舶配件。","525441","","0668-5552688",""
"19143","宁安航海电子有限公司","5020","Peaceful Marine Electrics Co.,ltd","Rm1701 Yanjiang  Building，No.195Yangjiang Road（M），Guangzhou，Guangdong，China","广州市沿江中路195号沿江大厦1701室","","5206","中文GPS、海图、GPS、渔探仪、测探仪、风向/风速仪、计程仪等。","510115","","020-38698784","020-38698780"
"19144","番禺市沙湾实力船用螺旋桨制造厂","5020","Panyu Shawan Shili Marine Screw Factory","Xianchong Industrial Area，Panyu，Guangdong，China","番禺市沙湾镇蚬冲工业区","","5206","生产船用铜质螺旋桨。","511487","","020-84742307","2084815763"
